ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12938452,01/01/2023 01:30:00 AM,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,True,False,1824,18.0,2.0,41.903929491,-87.629415106
12938907,01/01/2023 01:30:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2533,25.0,37.0,41.909664252,-87.742728815
12939693,01/01/2023 01:30:00 AM,ROBBERY,STRONG ARM - NO WEAPON,BAR OR TAVERN,False,False,1831,18.0,42.0,41.893179406,-87.634656764
12941787,01/01/2023 01:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,321,3.0,5.0,41.769323557,-87.591074802
12938514,01/01/2023 01:30:00 AM,BATTERY,SIMPLE,APARTMENT,False,False,122,1.0,25.0,41.876458301,-87.633682279
12938569,01/01/2023 01:30:00 AM,BATTERY,SIMPLE,ALLEY,True,False,1831,18.0,42.0,41.893179406,-87.634656764
12938338,01/01/2023 01:31:00 AM,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,False,False,1013,10.0,22.0,41.84506764,-87.731685422
12938455,01/01/2023 01:33:00 AM,BATTERY,SIMPLE,CTA TRAIN,False,False,111,1.0,42.0,41.885481891,-87.627935689
12939429,01/01/2023 01:34:00 PM,BATTERY,SIMPLE,RESIDENCE,False,False,1013,10.0,22.0,41.850897002,-87.732313498
12938339,01/01/2023 01:35:00 AM,BATTERY,SIMPLE,SIDEWALK,True,False,1833,18.0,2.0,41.900017769,-87.623426629
12939252,01/01/2023 01:36:00 AM,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,False,False,1225,12.0,27.0,41.877588029,-87.68302091
12941103,01/01/2023 01:36:00 AM,OTHER OFFENSE,LICENSE VIOLATION,BAR OR TAVERN,False,False,1424,14.0,1.0,41.909881891,-87.676690246
12938398,01/01/2023 01:37:00 AM,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,1533,15.0,29.0,41.87426362,-87.749190356
27282,01/01/2023 01:37:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,231,2.0,20.0,41.792155669,-87.619157821
12938375,01/01/2023 01:37:00 AM,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,RESIDENCE,False,False,834,8.0,18.0,41.750474257,-87.738968098
12938360,01/01/2023 01:38:00 AM,BATTERY,SIMPLE,GAS STATION,False,False,1712,17.0,40.0,41.982135322,-87.708836606
12938840,01/01/2023 01:40:00 PM,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,713,7.0,16.0,41.780835284,-87.664252074
12963202,01/01/2023 01:42:00 AM,THEFT,OVER $500,STREET,False,False,234,2.0,5.0,41.800620055,-87.584412895
12938414,01/01/2023 01:43:00 AM,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,1522,15.0,29.0,41.872928339,-87.756479797
12938366,01/01/2023 01:44:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,422,4.0,7.0,41.75069424,-87.562576558
12938463,01/01/2023 01:45:00 AM,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1214,12.0,27.0,41.885921396,-87.647486499
12938512,01/01/2023 01:45:00 AM,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,False,1512,15.0,29.0,41.882182561,-87.768749906
12940795,01/01/2023 01:45:00 PM,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1834,18.0,42.0,41.892507682,-87.626238686
12939033,01/01/2023 01:45:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,324,3.0,7.0,41.765465271,-87.584759566
12938328,01/01/2023 01:45:00 AM,BATTERY,SIMPLE,GAS STATION,False,False,1924,19.0,44.0,41.947317986,-87.649787936
12938883,01/01/2023 01:50:00 AM,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1111,11.0,37.0,41.89307048,-87.726016035
